SI,Course_ID,Course_Title,01_960_463_01,01_960_486_01,CALCULUS_1,CALCULUS_1_152,CS461_SPRING2023,CS462__INTRODUCTION_TO_DEEP_LEARNING,DATA_STRUCTURES,DMDS_DESCRIPTION,INTERMEDIATE_STAT_ANALYSIS_384:484,INTRODUCTION_TO_COMPUTER_SCIENCE,LINEAR_ALGEBRA,RUTGERS_NB_DATA_101_COURSE_DETAILS_AUG_16_2022,STATISTICS_II,STATISTICS_REPORT_01,STAT_METHODS_IN_BUS,SYLLABUS_-_DATA_IN_CONTEXT_-_FALL_2024_-_10516,SYLLABUS_FOR_2021SP_-_DISCRT_II_01_198_206
BR,COMP196,MCSE DESIGN WINDOWS 2000 NET INFRASTRUCTURE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP225,OPERATING SYSTEMS TECHNOLOGY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP226,SYSTEMS ANALYSIS AND DESIGN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP228,DATA STRUCTURES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP232,ADVANCED COBOL PROGRAMMING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP233,OBJECT ORIENTED PROGRAMMING USING C++,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP235,PROGRAMMING FOR MOBILE DEVICES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP238,PROGRAMMING USING PYTHON,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP245,INTERNET PROGRAMMING JAVA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP246,FULL STACK WEB DEVELOPMENT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,COMP261,LOCAL AREA NETWORKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP265,SPREADSHEETS USING EXCEL,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP266,DATA BASE USING ACCESS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP267,CLIENT SIDE USING JAVA SCRIPT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP268,SERVER SIDE SCRIPTING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP269,DATABASE CONCEPTS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP271,PROGRAMMING II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP275,GAME PROGRAMMING I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP276,GAME LEVEL DESIGN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP277,GAME PROGRAMMING II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP285,BUSINESS SYSTEMS DESIGN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP286,MATH/SCIENCE PROJECT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP295,SPECIAL PROJECT - COMPUTER SCIENCE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP296,ADVANCED SOFTWARE PROJECT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,COMP299,COMPUTER SCIENCE INTERNSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,COMP99C,DESIGNING/DEVELOPING WEB SITES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH011,PREALGEBRA - PART I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH012,PREALGEBRA - PART II,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH015,PREALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH021,INTRODUCTORY ALGEBRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH022,ALGEBRA SKILLS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH025,ELEMENTARY ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH035,GEOMETRY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH045,MATH STRATEGIES FOR SUCCESS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH131,STATISTICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH132,INTRODUCTION TO DATA SCIENCE + APPLIED STATISTICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH136,MATHEMATICS FOR THE LIBERAL ARTS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH137,FINITE MATHEMATICS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BR,MATH145,ALGEBRAIC MODELING,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH146,ADVANCED TOPICS IN MATHEMATICS FOR THE LIBERAL ART,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH151,INTERMEDIATE ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH152,COLLEGE ALGEBRA AND TRIGONOMETRY,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH153,PRE-CALCULUS MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH156,MATHEMATICS FOR MANAGEMENT AND THE SOCIAL SCIENCES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH161,TECHNICAL MATHEMATICS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH162,TECHNICAL MATHEMATICS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH171,CALCULUS I,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH172,CALCULUS II,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH176,CALCULUS BUSINESS APPLICATIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH226,DISCRETE MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH263,APPLIED TECHNICAL CALCULUS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH273,CALCULUS III,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH274,ELEMENTARY DIFFERENTIAL EQUATIONS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH285,LINEAR ALGEBRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH295,SPECIAL PROJECT - MATHEMATICS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BR,MATH299,MATHEMATICS INTERNSHIP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BU,CIS227,DATA STRUCTURES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
